,x_ego,y_ego,yaw_rad_ego,v_mps_ego,acc_mpss_ego,width_ego,length_ego,locationPoint2Head_ego,locationPoint2Rear_ego,x_1,y_1,yaw_rad_1,v_mps_1,acc_mpss_1,width_1,length_1,locationPoint2Head_1,locationPoint2Rear_1,x_2,y_2,yaw_rad_2,v_mps_2,acc_mpss_2,width_2,length_2,locationPoint2Head_2,locationPoint2Rear_2,end
0.0,947.26,2117.26,1.919,5.5,0,6.7,13.4,9.8,3.8,901.9076,2302.0963,5.0277,4.0212,0.07,1.947,5.416,2.708,2.708,954.477,2082.8308,1.7094,3.0283,0.4518,1.947,5.416,2.708,2.708,-1.0
0.1,947.0723,2117.777,1.9151,5.6,1.0,6.7,13.4,9.8,3.8,902.0273,2301.7148,5.0254,3.9999,0.0734,1.947,5.416,2.708,2.708,954.4379,2083.1362,1.7109,3.0803,0.4598,1.947,5.416,2.708,2.708,-1.0
0.2,946.8833,2118.3041,1.9111,5.7,1.0,6.7,13.4,9.8,3.8,902.1519,2301.3427,5.0255,3.9249,0.0843,1.947,5.416,2.708,2.708,954.3894,2083.4497,1.7129,3.1738,0.4758,1.947,5.416,2.708,2.708,-1.0
0.30000000000000004,946.6931,2118.8415,1.907,5.8,1.0,6.7,13.4,9.8,3.8,902.2748,2300.9641,5.0273,3.9825,0.0896,1.947,5.416,2.708,2.708,954.3469,2083.7595,1.7171,3.1286,0.494,1.947,5.416,2.708,2.708,-1.0
0.4,946.5018,2119.389,1.9029,5.9,1.0,6.7,13.4,9.8,3.8,902.3924,2300.58,5.0249,4.0186,0.09,1.947,5.416,2.708,2.708,954.2924,2084.0716,1.7174,3.1698,0.5002,1.947,5.416,2.708,2.708,-1.0
0.5,946.3094,2119.9467,1.8987,6.0,1.0,6.7,13.4,9.8,3.8,902.5158,2300.1908,5.0228,4.0846,0.0844,1.947,5.416,2.708,2.708,954.2496,2084.3932,1.7178,3.245,0.4893,1.947,5.416,2.708,2.708,-1.0
0.6,946.1161,2120.5148,1.8946,6.1,1.0,6.7,13.4,9.8,3.8,902.6378,2299.8027,5.0196,4.0698,0.0867,1.947,5.416,2.708,2.708,954.2012,2084.7225,1.7194,3.3304,0.4767,1.947,5.416,2.708,2.708,-1.0
0.7,945.9221,2121.0931,1.8903,6.2,1.0,6.7,13.4,9.8,3.8,902.7588,2299.4185,5.0205,4.0296,0.1009,1.947,5.416,2.708,2.708,954.1468,2085.0574,1.7202,3.3942,0.462,1.947,5.416,2.708,2.708,-1.0
0.7999999999999999,945.7273,2121.6817,1.8861,6.3,1.0,6.7,13.4,9.8,3.8,902.8866,2299.0338,5.0211,4.0557,0.1093,1.947,5.416,2.708,2.708,954.0919,2085.39,1.7186,3.3719,0.4468,1.947,5.416,2.708,2.708,-1.0
0.8999999999999999,945.532,2122.2806,1.8818,6.4,1.0,6.7,13.4,9.8,3.8,903.0115,2298.6491,5.0214,4.046,0.1069,1.947,5.416,2.708,2.708,954.0445,2085.7213,1.7248,3.3483,0.4302,1.947,5.416,2.708,2.708,-1.0
0.9999999999999999,945.3361,2122.8899,1.8775,6.5,1.0,6.7,13.4,9.8,3.8,903.1376,2298.2568,5.0198,4.1224,0.0998,1.947,5.416,2.708,2.708,954.0097,2086.064,1.7283,3.4466,0.4139,1.947,5.416,2.708,2.708,-1.0
1.0999999999999999,945.1398,2123.5096,1.8732,6.6,1.0,6.7,13.4,9.8,3.8,903.2626,2297.8635,5.0154,4.1288,0.0962,1.947,5.416,2.708,2.708,953.9609,2086.4121,1.7267,3.5154,0.3945,1.947,5.416,2.708,2.708,-1.0
1.2,944.9433,2124.1396,1.8689,6.7,1.0,6.7,13.4,9.8,3.8,903.3772,2297.4706,5.0165,4.094,0.0926,1.947,5.416,2.708,2.708,953.9043,2086.7533,1.726,3.4606,0.3699,1.947,5.416,2.708,2.708,-1.0
1.3,944.7465,2124.7801,1.8646,6.8,1.0,6.7,13.4,9.8,3.8,903.4932,2297.0819,5.0183,4.0582,0.0842,1.947,5.416,2.708,2.708,953.8506,2087.0968,1.727,3.4777,0.3529,1.947,5.416,2.708,2.708,-1.0
1.4000000000000001,944.5495,2125.4309,1.8603,6.9,1.0,6.7,13.4,9.8,3.8,903.6132,2296.6876,5.0176,4.1231,0.0766,1.947,5.416,2.708,2.708,953.7973,2087.4473,1.7306,3.5466,0.3444,1.947,5.416,2.708,2.708,-1.0
1.5000000000000002,944.3525,2126.0922,1.856,7.0,1.0,6.7,13.4,9.8,3.8,903.7441,2296.2934,5.0157,4.1553,0.0612,1.947,5.416,2.708,2.708,953.7332,2087.8,1.731,3.5862,0.3258,1.947,5.416,2.708,2.708,-1.0
1.6000000000000003,944.1556,2126.7639,1.8518,7.1,1.0,6.7,13.4,9.8,3.8,903.8729,2295.9046,5.0185,4.0971,0.0387,1.947,5.416,2.708,2.708,953.6798,2088.1555,1.7311,3.5961,0.3045,1.947,5.416,2.708,2.708,-1.0
1.7000000000000004,943.9587,2127.4461,1.8476,7.2,1.0,6.7,13.4,9.8,3.8,903.9992,2295.5175,5.0149,4.0732,0.0158,1.947,5.416,2.708,2.708,953.6178,2088.5147,1.7324,3.6464,0.2978,1.947,5.416,2.708,2.708,-1.0
1.8000000000000005,943.762,2128.1387,1.8433,7.2999,0.9999,6.7,13.4,9.8,3.8,904.1114,2295.1249,5.0144,4.0848,-0.0007,1.947,5.416,2.708,2.708,953.5587,2088.8753,1.7365,3.6555,0.3063,1.947,5.416,2.708,2.708,-1.0
1.9000000000000006,943.5654,2128.8417,1.8392,7.3999,0.9999,6.7,13.4,9.8,3.8,904.226,2294.7339,5.014,4.0763,-0.0182,1.947,5.416,2.708,2.708,953.5161,2089.2342,1.7419,3.6157,0.3161,1.947,5.416,2.708,2.708,-1.0
2.0000000000000004,943.3692,2129.5552,1.835,7.4999,0.9996,6.7,13.4,9.8,3.8,904.3323,2294.345,5.0132,4.0342,-0.0368,1.947,5.416,2.708,2.708,953.4622,2089.5984,1.7421,3.6833,0.3172,1.947,5.416,2.708,2.708,-1.0
2.1000000000000005,943.1734,2130.2792,1.831,7.5997,0.9984,6.7,13.4,9.8,3.8,904.4527,2293.9632,5.0158,4.0046,-0.0457,1.947,5.416,2.708,2.708,953.4005,2089.9691,1.7456,3.7602,0.3138,1.947,5.416,2.708,2.708,-1.0
2.2000000000000006,942.9779,2131.0136,1.8269,7.6991,0.9941,6.7,13.4,9.8,3.8,904.5789,2293.5826,5.0153,4.0115,-0.0492,1.947,5.416,2.708,2.708,953.3401,2090.3497,1.7469,3.8552,0.3044,1.947,5.416,2.708,2.708,-1.0
2.3000000000000007,942.7828,2131.7584,1.8229,7.797,0.9783,6.7,13.4,9.8,3.8,904.7054,2293.2007,5.0108,4.0248,-0.0484,1.947,5.416,2.708,2.708,953.2783,2090.7327,1.7464,3.8807,0.3015,1.947,5.416,2.708,2.708,-1.0
2.400000000000001,942.5883,2132.5134,1.8189,7.8893,0.9235,6.7,13.4,9.8,3.8,904.8231,2292.8149,5.0094,4.0347,-0.0457,1.947,5.416,2.708,2.708,953.2096,2091.1102,1.7476,3.8392,0.3099,1.947,5.416,2.708,2.708,-1.0
2.500000000000001,942.3945,2133.2782,1.8149,7.9645,0.7517,6.7,13.4,9.8,3.8,904.9341,2292.4248,5.0061,4.0575,-0.032,1.947,5.416,2.708,2.708,953.1362,2091.4875,1.7508,3.8447,0.3157,1.947,5.416,2.708,2.708,-1.0
2.600000000000001,942.2021,2134.051,1.8108,8.0004,0.3591,6.7,13.4,9.8,3.8,905.04,2292.0355,5.008,4.0362,-0.0165,1.947,5.416,2.708,2.708,953.0658,2091.8662,1.7532,3.8533,0.3157,1.947,5.416,2.708,2.708,-1.0
2.700000000000001,942.0119,2134.8281,1.8067,7.9999,-0.005,6.7,13.4,9.8,3.8,905.1517,2291.645,5.0029,4.0632,0.0028,1.947,5.416,2.708,2.708,952.9954,2092.2538,1.7554,3.9417,0.3034,1.947,5.416,2.708,2.708,-1.0
2.800000000000001,941.8249,2135.606,1.8025,8.0,0.0013,6.7,13.4,9.8,3.8,905.2735,2291.2583,5.0032,4.0554,0.0166,1.947,5.416,2.708,2.708,952.9302,2092.6462,1.7584,3.9793,0.2892,1.947,5.416,2.708,2.708,-1.0
2.9000000000000012,941.6412,2136.3846,1.7984,8.0,-0.0003,6.7,13.4,9.8,3.8,905.3944,2290.8654,4.9989,4.1122,0.0303,1.947,5.416,2.708,2.708,952.8552,2093.0371,1.7606,3.9821,0.2906,1.947,5.416,2.708,2.708,-1.0
3.0000000000000013,941.4607,2137.1639,1.7941,8.0,0.0001,6.7,13.4,9.8,3.8,905.5134,2290.4768,4.9965,4.0665,0.041,1.947,5.416,2.708,2.708,952.7943,2093.4344,1.7613,4.0205,0.3013,1.947,5.416,2.708,2.708,-1.0
3.1000000000000014,941.2835,2137.9441,1.7899,8.0,-0.0,6.7,13.4,9.8,3.8,905.6319,2290.0828,4.9941,4.116,0.0499,1.947,5.416,2.708,2.708,952.7262,2093.8306,1.7628,4.0213,0.3123,1.947,5.416,2.708,2.708,-1.0
3.2000000000000015,941.1096,2138.7249,1.7857,8.0,0.0,6.7,13.4,9.8,3.8,905.742,2289.6903,4.994,4.0774,0.0612,1.947,5.416,2.708,2.708,952.6508,2094.2303,1.7641,4.07,0.3099,1.947,5.416,2.708,2.708,-1.0
3.3000000000000016,940.939,2139.5065,1.7814,8.0,-0.0,6.7,13.4,9.8,3.8,905.8524,2289.2934,4.9907,4.1219,0.0718,1.947,5.416,2.708,2.708,952.5667,2094.6389,1.7648,4.1726,0.3046,1.947,5.416,2.708,2.708,-1.0
3.4000000000000017,940.7717,2140.2889,1.7772,8.0,0.0,6.7,13.4,9.8,3.8,905.9589,2288.8946,4.9896,4.1293,0.0769,1.947,5.416,2.708,2.708,952.4805,2095.05,1.7666,4.2027,0.3086,1.947,5.416,2.708,2.708,-1.0
3.5000000000000018,940.6078,2141.0719,1.773,8.0,-0.0,6.7,13.4,9.8,3.8,906.0683,2288.4982,4.9882,4.1136,0.0827,1.947,5.416,2.708,2.708,952.3975,2095.46,1.7697,4.1847,0.3168,1.947,5.416,2.708,2.708,-1.0
3.600000000000002,940.4471,2141.8556,1.7688,8.0,0.0,6.7,13.4,9.8,3.8,906.1796,2288.0957,4.9839,4.1776,0.0788,1.947,5.416,2.708,2.708,952.3196,2095.8677,1.773,4.1531,0.3307,1.947,5.416,2.708,2.708,-1.0
3.700000000000002,940.2898,2142.64,1.7646,8.0,-0.0,6.7,13.4,9.8,3.8,906.2907,2287.6946,4.9833,4.1645,0.0818,1.947,5.416,2.708,2.708,952.2552,2096.2844,1.7716,4.2178,0.3395,1.947,5.416,2.708,2.708,-1.0
3.800000000000002,940.1357,2143.425,1.7604,8.0,0.0,6.7,13.4,9.8,3.8,906.4071,2287.2932,4.9786,4.1809,0.0809,1.947,5.416,2.708,2.708,952.189,2096.7108,1.7742,4.3171,0.3367,1.947,5.416,2.708,2.708,-1.0
3.900000000000002,939.985,2144.2107,1.7562,8.0,-0.0,6.7,13.4,9.8,3.8,906.5121,2286.8898,4.9782,4.1695,0.0794,1.947,5.416,2.708,2.708,952.1078,2097.139,1.777,4.3598,0.3351,1.947,5.416,2.708,2.708,-1.0
4.000000000000002,939.8375,2144.9969,1.7521,8.0,0.0,6.7,13.4,9.8,3.8,906.6154,2286.4903,4.9737,4.1286,0.0833,1.947,5.416,2.708,2.708,952.015,2097.5694,1.7783,4.4044,0.344,1.947,5.416,2.708,2.708,-1.0
4.100000000000001,939.6932,2145.7838,1.748,8.0,-0.0,6.7,13.4,9.8,3.8,906.7251,2286.0857,4.9751,4.1933,0.0795,1.947,5.416,2.708,2.708,951.9172,2097.9975,1.7771,4.3932,0.3585,1.947,5.416,2.708,2.708,-1.0
4.200000000000001,939.5521,2146.5713,1.744,8.0,0.0,6.7,13.4,9.8,3.8,906.828,2285.6813,4.9717,4.175,0.075,1.947,5.416,2.708,2.708,951.8221,2098.4283,1.7775,4.4137,0.3671,1.947,5.416,2.708,2.708,-1.0
