,x_ego,y_ego,yaw_rad_ego,v_mps_ego,acc_mpss_ego,width_ego,length_ego,locationPoint2Head_ego,locationPoint2Rear_ego,x_1,y_1,yaw_rad_1,v_mps_1,acc_mpss_1,width_1,length_1,locationPoint2Head_1,locationPoint2Rear_1,x_4,y_4,yaw_rad_4,v_mps_4,acc_mpss_4,width_4,length_4,locationPoint2Head_4,locationPoint2Rear_4,x_3,y_3,yaw_rad_3,v_mps_3,acc_mpss_3,width_3,length_3,locationPoint2Head_3,locationPoint2Rear_3,x_5,y_5,yaw_rad_5,v_mps_5,acc_mpss_5,width_5,length_5,locationPoint2Head_5,locationPoint2Rear_5,x_2,y_2,yaw_rad_2,v_mps_2,acc_mpss_2,width_2,length_2,locationPoint2Head_2,locationPoint2Rear_2,end
0.0,944.558,2101.612,1.708,3.505,0,6.7,13.4,9.8,3.8,911.71705,2264.84745,4.90647,6.79044,0.08504,1.947,5.416,2.708,2.708,938.33688,2157.91015,1.75423,5.51213,-0.35173,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.1,944.510060851393,2101.959206117502,1.703221556482338,3.604998213101082,0.9999821310108183,6.7,13.4,9.8,3.8,911.8414,2264.17763,4.90678,6.81533,0.07502,1.947,5.416,2.708,2.708,938.23463,2158.41259,1.75423,5.49083,-0.33401,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.2,944.4624609869526,2102.316549613413,1.698591483279859,3.704996396487004,0.9999818338592217,6.7,13.4,9.8,3.8,911.96542,2263.50512,4.90467,6.84127,0.05456,1.947,5.416,2.708,2.708,938.11901,2159.00687,1.75437,5.47002,-0.32034,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.30000000000000004,944.4152417006047,2102.684027941994,1.694109833743926,3.804994549912735,0.999981534257312,6.7,13.4,9.8,3.8,912.09577,2262.82789,4.89809,6.89924,0.04064,1.947,5.416,2.708,2.708,938.00627,2159.61107,1.75473,5.45032,-0.30205,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.4,944.3684398025167,2103.0616380816673,1.689672709916022,3.9049926731332443,0.999981232205092,6.7,13.4,9.8,3.8,912.22802,2262.15688,4.89951,6.84196,0.0302,1.947,5.416,2.708,2.708,937.93677,2159.97797,1.7552,5.43155,-0.26992,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.5,944.3221279189019,2103.4493814081197,1.6853899207570897,4.004990765903501,0.999980927702565,6.7,13.4,9.8,3.8,912.34888,2261.47918,4.89515,6.88664,0.02847,1.947,5.416,2.708,2.708,937.8245,2160.56691,1.75597,5.4076,-0.23607,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.6,944.2763336700924,2103.8472537458433,1.6812613545388824,4.104988827978474,0.9999806207497336,6.7,13.4,9.8,3.8,912.47028,2260.80833,4.89452,6.8203,0.02687,1.947,5.416,2.708,2.708,937.73288,2161.0616,1.75657,5.38598,-0.20636,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.7,944.2310800654941,2104.2552506135385,1.677187441278781,4.204986859113134,0.9999803113466009,6.7,13.4,9.8,3.8,912.59189,2260.13325,4.8906,6.8622,0.01832,1.947,5.416,2.708,2.708,937.6433,2161.53503,1.75688,5.37765,-0.18701,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.7999999999999999,944.1864270913865,2104.6733717165175,1.673273131595281,4.3049848590624515,0.9999799994931701,6.7,13.4,9.8,3.8,912.70698,2259.45649,4.88766,6.86752,-0.00355,1.947,5.416,2.708,2.708,937.52011,2162.16292,1.75702,5.38522,-0.17379,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.8999999999999999,944.1423881557337,2105.1016117409363,1.6695183938380627,4.404982827581396,0.999979685189444,6.7,13.4,9.8,3.8,912.82264,2258.78209,4.88403,6.84519,-0.01841,1.947,5.416,2.708,2.708,937.4006,2162.80293,1.75702,5.39664,-0.1564,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.9999999999999999,944.098971857877,2105.5399652081214,1.6659232222469615,4.504980764424938,0.9999793684354259,6.7,13.4,9.8,3.8,912.93775,2258.10883,4.88234,6.83303,-0.03036,1.947,5.416,2.708,2.708,937.33286,2163.17108,1.75704,5.41217,-0.13045,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1.0999999999999999,944.0561819778259,2105.988426514193,1.662487575266421,4.60497866934805,0.9999790492311187,6.7,13.4,9.8,3.8,913.04706,2257.43893,4.88062,6.7904,-0.03294,1.947,5.416,2.708,2.708,937.21626,2163.76967,1.75729,5.42594,-0.09734,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1.2,944.0140174929635,2106.446989968546,1.6592114594547844,4.704976542105703,0.9999787275765256,6.7,13.4,9.8,3.8,913.1563,2256.77385,4.87802,6.74261,-0.04319,1.947,5.416,2.708,2.708,937.09136,2164.38167,1.75762,5.43008,-0.08046,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1.3,943.9724725576147,2106.915649824907,1.656095004820422,4.804974382452868,0.9999784034716498,6.7,13.4,9.8,3.8,913.255,2256.10242,4.87759,6.78915,-0.0549,1.947,5.416,2.708,2.708,937.0037,2164.84359,1.75772,5.43557,-0.08255,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1.4000000000000001,943.931536444443,2107.3944003056367,1.6531380774310651,4.904972190144518,0.9999780769164944,6.7,13.4,9.8,3.8,913.35616,2255.42836,4.87154,6.81859,-0.07119,1.947,5.416,2.708,2.708,936.90506,2165.37163,1.75718,5.44225,-0.08611,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1.5000000000000002,943.8911936692723,2107.88323563819,1.6504230574965522,5.004969964935624,0.9999777479110626,6.7,13.4,9.8,3.8,913.46122,2254.75491,4.86375,6.81883,-0.0809,1.947,5.416,2.708,2.708,936.78351,2165.9784,1.75594,5.45799,-0.07404,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1.6000000000000003,943.8513828304041,2108.3821467932144,1.647862947025065,5.10496770658116,0.9999774164553576,6.7,13.4,9.8,3.8,913.55632,2254.0874,4.86552,6.74541,-0.08528,1.947,5.416,2.708,2.708,936.71297,2166.34199,1.75503,5.46778,-0.05193,6.7,13.4,9.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
