,x_ego,y_ego,yaw_rad_ego,v_mps_ego,acc_mpss_ego,width_ego,length_ego,locationPoint2Head_ego,locationPoint2Rear_ego,x_1,y_1,yaw_rad_1,v_mps_1,acc_mpss_1,width_1,length_1,locationPoint2Head_1,locationPoint2Rear_1,x_2,y_2,yaw_rad_2,v_mps_2,acc_mpss_2,width_2,length_2,locationPoint2Head_2,locationPoint2Rear_2,x_4,y_4,yaw_rad_4,v_mps_4,acc_mpss_4,width_4,length_4,locationPoint2Head_4,locationPoint2Rear_4,x_3,y_3,yaw_rad_3,v_mps_3,acc_mpss_3,width_3,length_3,locationPoint2Head_3,locationPoint2Rear_3,end
0.0,968.5491,2376.2961,2.1024,3.6802,0,6.7,13.4,9.8,3.8,861.56495,2484.33393,5.6388,3.63642,0.28966,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
0.1,968.3625446444553,2376.613331492317,2.0922787248108747,3.7801981608777617,0.9999816087776146,6.7,13.4,9.8,3.8,861.84856,2484.10946,5.64599,3.6183,0.28567,1.947,5.416,2.708,2.708,924.20812,2399.80274,1.94279,5.79688,0.05492,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
0.2,968.1742280077981,2376.941105539052,2.082366361827455,3.8801962916110613,0.9999813073329941,6.7,13.4,9.8,3.8,862.12404,2483.84682,5.64938,3.80758,0.277,1.947,5.416,2.708,2.708,924.00355,2400.34019,1.94445,5.75279,0.04694,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
0.30000000000000004,967.9842742073763,2377.279449722273,2.0724767657409484,3.9801943919548677,0.9999810034380656,6.7,13.4,9.8,3.8,862.42857,2483.60449,5.64651,3.89342,0.27379,1.947,5.416,2.708,2.708,923.79565,2400.87649,1.94274,5.75418,0.04819,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
0.4,967.7928668242823,2377.6284234858636,2.062811505205517,4.080192461664151,0.9999806970928322,6.7,13.4,9.8,3.8,862.73618,2483.37469,5.64406,3.8412,0.29082,1.947,5.416,2.708,2.708,923.59605,2401.41334,1.94205,5.72986,0.04399,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
0.5,967.6001173126185,2377.98804457951,2.0533740644892555,4.180190500493881,0.9999803882972969,6.7,13.4,9.8,3.8,863.04244,2483.15356,5.63921,3.77886,0.30547,1.947,5.416,2.708,2.708,923.40503,2401.95258,1.94166,5.72305,0.03528,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
0.6,967.4061296871287,2378.35832653608,2.0441679220638793,4.280188508199027,0.9999800770514625,6.7,13.4,9.8,3.8,863.36449,2482.94326,5.63806,3.84789,0.31039,1.947,5.416,2.708,2.708,923.19062,2402.49467,1.93938,5.83201,0.02194,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
0.7,967.2110002960778,2378.7392788394004,2.0351966488538835,4.38018648453456,0.9999797633553321,6.7,13.4,9.8,3.8,863.69627,2482.72271,5.63795,3.9854,0.29464,1.947,5.416,2.708,2.708,922.9655,2403.03444,1.9402,5.85072,0.01999,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
0.7999999999999999,967.014817562175,2379.130907070394,2.0264634736846787,4.480184429255451,0.999979447208909,6.7,13.4,9.8,3.8,864.02501,2482.49923,5.63573,3.97673,0.26446,1.947,5.416,2.708,2.708,922.75286,2403.57419,1.94115,5.80357,0.02172,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
0.8999999999999999,966.8176618995237,2379.533213135332,2.017971827230596,4.580182342116671,0.999979128612196,6.7,13.4,9.8,3.8,864.34383,2482.26357,5.62788,3.9662,0.24691,1.947,5.416,2.708,2.708,922.54492,2404.11262,1.93903,5.77398,0.02279,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
0.9999999999999999,966.6196054302513,2379.9461953841633,2.009724828907984,4.68018022287319,0.9999788075651963,6.7,13.4,9.8,3.8,864.64607,2482.02078,5.62863,3.87838,0.24025,1.947,5.416,2.708,2.708,922.34429,2404.64994,1.94354,5.73791,0.02899,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
1.0999999999999999,966.4207119137017,2380.3698488253863,2.001725834076295,4.780178071279981,0.9999784840679132,6.7,13.4,9.8,3.8,864.95406,2481.77927,5.62567,3.91536,0.22954,1.947,5.416,2.708,2.708,922.1394,2405.19339,1.94313,5.81029,0.02147,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
1.2,966.2210364604103,2380.8041652276606,1.9939778774172419,4.880175887092016,0.9999781581203496,6.7,13.4,9.8,3.8,865.26576,2481.5391,5.62553,3.93648,0.20864,1.947,5.416,2.708,2.708,921.9285,2405.73314,1.94191,5.79701,0.00812,1.947,5.416,2.708,2.708,,,,,,,,,,,,,,,,,,,-1.0
